,Year,Month,Type,From,To,Date,Player,Position,Transaction
17,1993,8,trades,Bears  Bears,Falcons  Falcons,08/17,Stan Thomas,,Traded
18,1993,8,trades,Patriots  Patriots,Browns  Browns,08/16,Rob McGovern,,Traded
19,1993,8,trades,Browns  Browns,Patriots  Patriots,08/16,George Williams,,Traded
20,1993,8,trades,Rams  Rams,Packers  Packers,08/12,Chris Crooms,,Traded
21,1993,8,trades,Browns  Browns,Packers  Packers,08/05,Dan Fike,,Traded
0,1993,10,trades,Steelers  Steelers,Bears  Bears,10/19,Tim Worley,,Traded
1,1993,10,trades,Raiders  Raiders,Cowboys  Cowboys,10/13,Elvis Patterson,,Traded
2,1993,10,trades,Falcons  Falcons,Packers  Packers,10/12,Eric Dickerson,,Traded
3,1993,10,trades,Falcons  Falcons,Packers  Packers,10/12,Bruce Pickens,,Traded
4,1993,10,trades,Rams  Rams,Cowboys  Cowboys,10/05,Jim Price,,Traded
0,1994,3,trades,Colts  Colts,Falcons  Falcons,03/24,Jeff George,,Traded
1,1994,3,trades,Dolphins  Dolphins,Chargers  Chargers,03/24,Tony Martin,,Traded
2,1994,3,trades,Steelers  Steelers,Vikings  Vikings,03/21,Adrian Cooper,,Traded
3,1994,3,trades,Chargers  Chargers,Rams  Rams,03/18,Nate Lewis,,Traded
4,1994,3,trades,Rams  Rams,Saints  Saints,03/18,Jim Everett,,Traded
5,1994,3,trades,Chargers  Chargers,Browns  Browns,03/04,Donald Frank,,Traded
0,1994,4,trades,Lions  Lions,Seahawks  Seahawks,04/29,Reggie Barrett,,Traded
1,1994,4,trades,Broncos  Broncos,Giants  Giants,04/28,Arthur Marshall,,Traded
2,1994,4,trades,Chargers  Chargers,Patriots  Patriots,04/25,Marion Butts,,Traded
3,1994,4,trades,49ers  49ers,Eagles  Eagles,04/24,Bill Romanowski,,Traded
4,1994,4,trades,Vikings  Vikings,Falcons  Falcons,04/24,Chris Doleman,,Traded
5,1994,4,trades,Falcons  Falcons,Broncos  Broncos,04/24,Mike Pritchard,,Traded
6,1994,4,trades,49ers  49ers,Broncos  Broncos,04/20,Ted Washington,,Traded
7,1994,4,trades,Oilers  Oilers,Vikings  Vikings,04/18,Warren Moon,,Traded
8,1994,4,trades,Chargers  Chargers,Rams  Rams,04/11,Marquez Pope,,Traded
9,1994,4,trades,Chargers  Chargers,Eagles  Eagles,04/07,Burt Grossman,,Traded
10,1994,4,trades,Cowboys  Cowboys,Buccaneers  Buccaneers,04/05,Thomas Everett,,Traded
0,1994,5,trades,Cowboys  Cowboys,Raiders  Raiders,05/10,Derrick Gainer,,Traded
1,1994,5,trades,49ers  49ers,Chiefs  Chiefs,05/03,Steve Bono,,Traded
2,1994,5,trades,Steelers  Steelers,Bears  Bears,05/02,Jeff Graham,,Traded
0,1994,6,trades,Cardinals  Cardinals,Redskins  Redskins,06/17,Tyronne Stowe,,Traded
0,1994,7,trades,Lions  Lions,Chiefs  Chiefs,07/12,William White,,Traded
0,1994,8,trades,Redskins  Redskins,Packers  Packers,08/28,Darryl Moore,,Traded
1,1994,8,trades,Bears  Bears,Cowboys  Cowboys,08/28,Jim Schwantz,,Traded
2,1994,8,trades,Raiders  Raiders,Packers  Packers,08/28,Charles Jordan,,Traded
3,1994,8,trades,Broncos  Broncos,Rams  Rams,08/27,Tommy Maddox,,Traded
4,1994,8,trades,Buccaneers  Buccaneers,Chiefs  Chiefs,08/23,Darren Anderson,,Traded
5,1994,8,trades,Patriots  Patriots,Seahawks  Seahawks,08/19,Darryl Wren,,Traded
6,1994,8,trades,Steelers  Steelers,Patriots  Patriots,08/10,Leroy Thompson,,Traded
0,1994,10,trades,Saints  Saints,Browns  Browns,10/11,Reggie Jones,,Traded
0,1995,3,trades,Dolphins  Dolphins,Packers  Packers,03/29,Keith Jackson,,Traded
1,1995,3,trades,Browns  Browns,Falcons  Falcons,03/27,Eric Metcalf,,Traded
2,1995,3,trades,Dolphins  Dolphins,Packers  Packers,03/21,Mark Ingram,,Traded
3,1995,3,trades,Falcons  Falcons,Lions  Lions,03/02,Harold Alexander,,Traded
0,1995,4,trades,Buccaneers  Buccaneers,Colts  Colts,04/27,Craig Erickson,,Traded
1,1995,4,trades,Vikings  Vikings,Giants  Giants,04/23,Vencie Glenn,,Traded
2,1995,4,trades,Packers  Packers,Jaguars  Jaguars,04/22,Mark Brunell,,Traded
3,1995,4,trades,Cardinals  Cardinals,Jets  Jets,04/22,Ronald Moore,,Traded
4,1995,4,trades,Jets  Jets,Cardinals  Cardinals,04/22,Rob Moore,,Traded
5,1995,4,trades,Eagles  Eagles,Chiefs  Chiefs,04/22,Victor Bailey,,Traded
6,1995,4,trades,Lions  Lions,49ers  49ers,04/18,Derrick Moore,,Traded
7,1995,4,trades,Redskins  Redskins,49ers  49ers,04/07,Shane Collins,,Traded
8,1995,4,trades,Packers  Packers,Dolphins  Dolphins,04/04,Terrell Buckley,,Traded
9,1995,4,trades,Bears  Bears,Dolphins  Dolphins,04/04,Trace Armstrong,,Traded
10,1995,4,trades,Cardinals  Cardinals,Seahawks  Seahawks,04/03,Ricky Proehl,,Traded
0,1995,5,trades,Jaguars  Jaguars,Lions  Lions,05/31,Corey Raymond,,Traded
1,1995,5,trades,Lions  Lions,Jaguars  Jaguars,05/31,Ty Hallock,,Traded
2,1995,5,trades,Steelers  Steelers,Panthers  Panthers,05/30,Barry Foster,,Traded
3,1995,5,trades,Buccaneers  Buccaneers,Browns  Browns,05/19,Harold Bishop,,Traded
4,1995,5,trades,Falcons  Falcons,Packers  Packers,05/19,Ferric Collons,,Traded
0,1995,8,trades,Panthers  Panthers,Browns  Browns,08/30,Michael Bates,,Traded
1,1995,8,trades,Browns  Browns,Falcons  Falcons,08/29,Gene Williams,,Traded
2,1995,8,trades,Browns  Browns,Panthers  Panthers,08/29,Travis Hill,,Traded
3,1995,8,trades,Jaguars  Jaguars,Dolphins  Dolphins,08/27,Mike Williams,,Traded
4,1995,8,trades,Dolphins  Dolphins,Jaguars  Jaguars,08/27,Pete Mitchell,,Traded
5,1995,8,trades,Buccaneers  Buccaneers,Jets  Jets,08/27,Marc Spindler,,Traded
6,1995,8,trades,Buccaneers  Buccaneers,Jets  Jets,08/27,Charles Wilson,,Traded
7,1995,8,trades,Eagles  Eagles,Packers  Packers,08/27,Joe Sims,,Traded
8,1995,8,trades,Raiders  Raiders,Saints  Saints,08/27,Willie Broughton,,Traded
9,1995,8,trades,Chiefs  Chiefs,Packers  Packers,08/27,Lindsay Knapp,,Traded
10,1995,8,trades,Chiefs  Chiefs,Steelers  Steelers,08/27,Tracy Greene,,Traded
11,1995,8,trades,Packers  Packers,Patriots  Patriots,08/26,Ferric Collons,,Traded
12,1995,8,trades,Steelers  Steelers,Jaguars  Jaguars,08/24,Craig Keith,,Traded
13,1995,8,trades,Browns  Browns,Panthers  Panthers,08/21,Ray Ethridge,,Traded
14,1995,8,trades,Browns  Browns,Eagles  Eagles,08/21,Ronnie Dixon,,Traded
15,1995,8,trades,Raiders  Raiders,Packers  Packers,08/21,Greg Robinson,,Traded
16,1995,8,trades,Patriots  Patriots,Packers  Packers,08/12,Mike Arthur,,Traded
17,1995,8,trades,Packers  Packers,Patriots  Patriots,08/12,Bill Schroeder,,Traded
18,1995,8,trades,Packers  Packers,Patriots  Patriots,08/12,Jeff Wilner,,Traded
0,1996,3,trades,Jets  Jets,Packers  Packers,03/13,Marcus Turner,,Traded
1,1996,3,trades,Seahawks  Seahawks,Ravens  Ravens,03/11,Jeff Blackshear,,Traded
2,1996,3,trades,Jets  Jets,Dolphins  Dolphins,03/05,James Brown,,Traded
0,1996,4,trades,Falcons  Falcons,Cowboys  Cowboys,04/22,Roger Harper,,Traded
1,1996,4,trades,Oilers  Oilers,Seahawks  Seahawks,04/20,Glenn Montgomery,,Traded
2,1996,4,trades,Rams  Rams,Steelers  Steelers,04/20,Jerome Bettis,,Traded
3,1996,4,trades,Raiders  Raiders,Falcons  Falcons,04/18,Patrick Bates,,Traded
4,1996,4,trades,Patriots  Patriots,Raiders  Raiders,04/17,Pat Harlow,,Traded
5,1996,4,trades,Broncos  Broncos,Lions  Lions,04/12,Glyn Milburn,,Traded
6,1996,4,trades,Rams  Rams,Redskins  Redskins,04/08,Sean Gilbert,,Traded
0,1996,5,trades,Saints  Saints,Packers  Packers,05/13,Toddrick McIntosh,,Traded
1,1996,5,trades,Falcons  Falcons,Raiders  Raiders,05/13,Lincoln Kennedy,,Traded
2,1996,5,trades,Jets  Jets,Falcons  Falcons,05/02,Matt Willig,,Traded
0,1996,6,trades,Packers  Packers,Seahawks  Seahawks,06/27,Matt LaBounty,,Traded
1,1996,6,trades,Seahawks  Seahawks,Packers  Packers,06/27,Eugene Robinson,,Traded
2,1996,6,trades,Packers  Packers,Falcons  Falcons,06/06,Lenny McGill,,Traded
0,1996,7,trades,Jets  Jets,Packers  Packers,07/26,Ryan Yarborough,,Traded
1,1996,7,trades,Packers  Packers,Falcons  Falcons,07/18,George Teague,,Traded
0,1996,8,trades,Rams  Rams,Broncos  Broncos,08/26,Todd Kinchen,,Traded
1,1996,8,trades,Raiders  Raiders,Saints  Saints,08/25,Austin Robbins,,Traded
2,1996,8,trades,Packers  Packers,Patriots  Patriots,08/25,Mike Bartrum,,Traded
3,1996,8,trades,Packers  Packers,Patriots  Patriots,08/25,Walter Scott,,Traded
4,1996,8,trades,Raiders  Raiders,Panthers  Panthers,08/25,Raghib Ismail,,Traded
5,1996,8,trades,Dolphins  Dolphins,Chiefs  Chiefs,08/21,Pete Stoyanovich,,Traded
6,1996,8,trades,Bears  Bears,Falcons  Falcons,08/20,Pat Riley,,Traded
7,1996,8,trades,Dolphins  Dolphins,49ers  49ers,08/19,Terry Kirby,,Traded
8,1996,8,trades,Patriots  Patriots,Packers  Packers,08/07,Carlos Yancy,,Traded
9,1996,8,trades,Packers  Packers,Rams  Rams,08/06,Wendall Gaines,,Traded
0,1996,10,trades,Rams  Rams,Dolphins  Dolphins,10/01,Troy Drayton,,Traded
1,1996,10,trades,Dolphins  Dolphins,Rams  Rams,10/01,Billy Milner,,Traded
0,1997,2,trades,Oilers  Oilers,Falcons  Falcons,02/24,Chris Chandler,,Traded
1,1997,2,trades,Seahawks  Seahawks,Bears  Bears,02/19,Rick Mirer,,Traded
2,1997,2,trades,Raiders  Raiders,Bills  Bills,02/18,Billy Joe Hobert,,Traded
3,1997,2,trades,Ravens  Ravens,Broncos  Broncos,02/14,Tony Jones,,Traded
0,1997,4,trades,Eagles  Eagles,Jets  Jets,04/18,Ronnie Dixon,,Traded
1,1997,4,trades,Redskins  Redskins,Saints  Saints,04/18,Heath Shuler,,Traded
2,1997,4,trades,Steelers  Steelers,Chiefs  Chiefs,04/04,Brentson Buckner,,Traded
3,1997,4,trades,Raiders  Raiders,Saints  Saints,04/01,Daryl Hobbs,,Traded
0,1997,6,trades,Jets  Jets,Packers  Packers,06/19,Henry Lusk,,Traded
1,1997,6,trades,Jets  Jets,Packers  Packers,06/05,Carl Greenwood,,Traded
2,1997,6,trades,Packers  Packers,Jets  Jets,06/05,Chris Hayes,,Traded
0,1997,7,trades,Steelers  Steelers,Chargers  Chargers,07/02,Erric Pegram,,Traded
0,1997,8,trades,Ravens  Ravens,Eagles  Eagles,08/27,Willie Clark,,Traded
1,1997,8,trades,Jets  Jets,Packers  Packers,08/25,Tyrone Davis,,Traded
2,1997,8,trades,Steelers  Steelers,Ravens  Ravens,08/24,Bernard Dafney,,Traded
3,1997,8,trades,Jaguars  Jaguars,Packers  Packers,08/24,Paul Frase,,Traded
4,1997,8,trades,Eagles  Eagles,Ravens  Ravens,08/24,Ben Cavil,,Traded
5,1997,8,trades,Packers  Packers,Dolphins  Dolphins,08/24,Qadry Ismail,,Traded
6,1997,8,trades,Steelers  Steelers,Panthers  Panthers,08/24,Israel Raybon,,Traded
7,1997,8,trades,Jaguars  Jaguars,Bears  Bears,08/24,Jimmy Herndon,,Traded
8,1997,8,trades,Chiefs  Chiefs,Bears  Bears,08/24,Chris Penn,,Traded
9,1997,8,trades,Jets  Jets,Eagles  Eagles,08/22,Sean Love,,Traded
0,1997,9,trades,Saints  Saints,Seahawks  Seahawks,09/30,Daryl Hobbs,,Traded
0,1997,10,trades,Packers  Packers,Chiefs  Chiefs,10/07,Wayne Simmons,,Traded
0,1998,2,trades,Bengals  Bengals,Redskins  Redskins,02/26,Dan Wilkinson,,Traded
1,1998,2,trades,Buccaneers  Buccaneers,Ravens  Ravens,02/18,Errict Rhett,,Traded
2,1998,2,trades,Colts  Colts,Ravens  Ravens,02/17,Jim Harbaugh,,Traded
3,1998,2,trades,Jaguars  Jaguars,Bills  Bills,02/13,Rob Johnson,,Traded
0,1998,3,trades,Colts  Colts,Bengals  Bengals,03/26,Paul Justin,,Traded
1,1998,3,trades,Raiders  Raiders,Lions  Lions,03/24,Rob Fredrickson,,Traded
2,1998,3,trades,Chargers  Chargers,Cardinals  Cardinals,03/16,Patrick Sapp,,Traded
3,1998,3,trades,Chargers  Chargers,Cardinals  Cardinals,03/16,Eric Metcalf,,Traded
4,1998,3,trades,Jets  Jets,Eagles  Eagles,03/13,Hugh Douglas,,Traded
5,1998,3,trades,Jets  Jets,Buccaneers  Buccaneers,03/12,Lorenzo Neal,,Traded
6,1998,3,trades,Saints  Saints,Raiders  Raiders,03/05,Eric Allen,,Traded
0,1998,4,trades,Lions  Lions,Packers  Packers,04/23,Glyn Milburn,,Traded
1,1998,4,trades,Patriots  Patriots,Vikings  Vikings,04/20,Jimmy Hitchcock,,Traded
2,1998,4,trades,Buccaneers  Buccaneers,Chiefs  Chiefs,04/20,Melvin Johnson,,Traded
3,1998,4,trades,Jets  Jets,Eagles  Eagles,04/19,Jeff Graham,,Traded
4,1998,4,trades,Broncos  Broncos,49ers  49ers,04/16,Jamie Brown,,Traded
5,1998,4,trades,Bears  Bears,49ers  49ers,04/16,Tony Peterson,,Traded
6,1998,4,trades,Jets  Jets,Cardinals  Cardinals,04/07,Adrian Murrell,,Traded
7,1998,4,trades,Packers  Packers,Rams  Rams,04/06,Steve Bono,,Traded
0,1998,5,trades,Packers  Packers,Chiefs  Chiefs,05/13,Darius Holland,,Traded
1,1998,5,trades,Chiefs  Chiefs,Packers  Packers,05/13,Vaughn Booker,,Traded
0,1998,6,trades,Chargers  Chargers,Bears  Bears,06/09,Shawn Lee,,Traded
1,1998,6,trades,Chargers  Chargers,Falcons  Falcons,06/04,Tony Martin,,Traded
0,1998,7,trades,Panthers  Panthers,Colts  Colts,07/23,Tyrone Poole,,Traded
0,1998,8,trades,Packers  Packers,Panthers  Panthers,08/31,Mike Flanagan,,Traded
1,1998,8,trades,Packers  Packers,Bears  Bears,08/30,Glyn Milburn,,Traded
2,1998,8,trades,Patriots  Patriots,Rams  Rams,08/30,Mike D. Jones,,Traded
3,1998,8,trades,Broncos  Broncos,Cowboys  Cowboys,08/30,Patrick Jeffers,,Traded
4,1998,8,trades,Patriots  Patriots,Eagles  Eagles,08/30,Dietrich Jells,,Traded
5,1998,8,trades,Steelers  Steelers,Colts  Colts,08/30,Steve Conley,,Traded
6,1998,8,trades,Packers  Packers,Broncos  Broncos,08/30,Seth Joyner,,Traded
7,1998,8,trades,Colts  Colts,Saints  Saints,08/30,Scott Slutzker,,Traded
8,1998,8,trades,Saints  Saints,Colts  Colts,08/30,Andre Royal,,Traded
9,1998,8,trades,Patriots  Patriots,Cowboys  Cowboys,08/25,Artie Smith,,Traded
10,1998,8,trades,Broncos  Broncos,49ers  49ers,08/25,Steve Gordon,,Traded
11,1998,8,trades,Broncos  Broncos,49ers  49ers,08/25,David Richie,,Traded
12,1998,8,trades,Steelers  Steelers,Cardinals  Cardinals,08/25,J.B. Brown,,Traded
13,1998,8,trades,Steelers  Steelers,49ers  49ers,08/24,Angel Rubio,,Traded
14,1998,8,trades,Packers  Packers,Jets  Jets,08/21,Brett Conway,,Traded
15,1998,8,trades,Broncos  Broncos,Cowboys  Cowboys,08/19,Kendell Watkins,,Traded
16,1998,8,trades,Jets  Jets,Packers  Packers,08/17,Brian Hansen,,Traded
17,1998,8,trades,Rams  Rams,Packers  Packers,08/13,Aaron Laing,,Traded
0,1998,9,trades,Bills  Bills,Packers  Packers,09/29,Darick Holmes,,Traded
1,1998,9,trades,Oilers  Oilers,Bears  Bears,09/01,Lemanski Hall,,Traded
0,1998,10,trades,Bears  Bears,Chiefs  Chiefs,10/13,Bam Morris,,Traded
0,1999,2,trades,49ers  49ers,Browns  Browns,02/26,Ty Detmer,,Traded
1,1999,2,trades,Rams  Rams,Saints  Saints,02/18,Eddie Kennison,,Traded
2,1999,2,trades,Vikings  Vikings,Redskins  Redskins,02/16,Brad Johnson,,Traded
3,1999,2,trades,Bills  Bills,Browns  Browns,02/16,Chris Spielman,,Traded
4,1999,2,trades,Giants  Giants,Dolphins  Dolphins,02/12,Tyrone Wheatley,,Traded
5,1999,2,trades,49ers  49ers,Browns  Browns,02/12,Irv Smith,,Traded
6,1999,2,trades,49ers  49ers,Browns  Browns,02/12,Roy Barker,,Traded
0,1999,3,trades,Patriots  Patriots,Ravens  Ravens,03/30,Lovett Purnell,,Traded
1,1999,3,trades,Jets  Jets,Steelers  Steelers,03/25,Alex Van Dyke,,Traded
2,1999,3,trades,Ravens  Ravens,Chargers  Chargers,03/22,Jim Harbaugh,,Traded
3,1999,3,trades,Lions  Lions,Ravens  Ravens,03/22,Scott Mitchell,,Traded
4,1999,3,trades,Jets  Jets,Seahawks  Seahawks,03/19,Glenn Foley,,Traded
5,1999,3,trades,49ers  49ers,Dolphins  Dolphins,03/02,Kevin Gogan,,Traded
6,1999,3,trades,Broncos  Broncos,Panthers  Panthers,03/02,Jeff Lewis,,Traded
0,1999,4,trades,Eagles  Eagles,Redskins  Redskins,04/28,Rodney Peete,,Traded
1,1999,4,trades,Patriots  Patriots,Browns  Browns,04/22,Sedrick Shaw,,Traded
2,1999,4,trades,Vikings  Vikings,Ravens  Ravens,04/18,Everett Lindsay,,Traded
3,1999,4,trades,49ers  49ers,Browns  Browns,04/18,Marc Edwards,,Traded
4,1999,4,trades,Ravens  Ravens,Buccaneers  Buccaneers,04/17,Eric Zeier,,Traded
5,1999,4,trades,Rams  Rams,Ravens  Ravens,04/17,Tony Banks,,Traded
6,1999,4,trades,Colts  Colts,Rams  Rams,04/15,Marshall Faulk,,Traded
7,1999,4,trades,Steelers  Steelers,Packers  Packers,04/06,Jahine Arnold,,Traded
0,1999,6,trades,Seahawks  Seahawks,Cowboys  Cowboys,06/25,James McKnight,,Traded
0,1999,7,trades,Packers  Packers,Rams  Rams,07/23,Mike Morton,,Traded
0,1999,8,trades,Rams  Rams,Chiefs  Chiefs,08/31,Mitch Jacoby,,Traded
1,1999,8,trades,Rams  Rams,Lions  Lions,08/31,Greg Hill,,Traded
2,1999,8,trades,Packers  Packers,Seahawks  Seahawks,08/31,Derrick Mayes,,Traded
3,1999,8,trades,Raiders  Raiders,Rams  Rams,08/30,Paul Justin,,Traded
4,1999,8,trades,Eagles  Eagles,Raiders  Raiders,08/24,Bobby Hoying,,Traded
5,1999,8,trades,Broncos  Broncos,Redskins  Redskins,08/24,Tito Paul,,Traded
6,1999,8,trades,Packers  Packers,Jets  Jets,08/21,Rick Mirer,,Traded
7,1999,8,trades,Redskins  Redskins,Steelers  Steelers,08/13,Shar Pourdanesh,,Traded
8,1999,8,trades,Chargers  Chargers,Jets  Jets,08/10,John Burke,,Traded
9,1999,8,trades,Panthers  Panthers,Packers  Packers,08/05,Jamie Wilson,,Traded
0,1999,9,trades,Vikings  Vikings,Browns  Browns,09/29,Stalin Colinet,,Traded
1,1999,9,trades,Browns  Browns,Vikings  Vikings,09/29,Jerry Ball,,Traded
2,1999,9,trades,Broncos  Broncos,Dolphins  Dolphins,09/21,Marcus Nash,,Traded
3,1999,9,trades,Dolphins  Dolphins,Broncos  Broncos,09/21,John Avery,,Traded
4,1999,9,trades,Chiefs  Chiefs,49ers  49ers,09/21,Robert Williams,,Traded
5,1999,9,trades,Packers  Packers,49ers  49ers,09/07,Craig Newsome,,Traded
6,1999,9,trades,49ers  49ers,Dolphins  Dolphins,09/07,Jim Druckenmiller,,Traded
7,1999,9,trades,Panthers  Panthers,Eagles  Eagles,09/05,Luther Broughton,,Traded
8,1999,9,trades,Jaguars  Jaguars,Seahawks  Seahawks,09/05,Cordell Taylor,,Traded
9,1999,9,trades,Dolphins  Dolphins,Redskins  Redskins,09/04,Barron Tanner,,Traded
10,1999,9,trades,Eagles  Eagles,Packers  Packers,09/01,Jon Harris,,Traded
11,1999,9,trades,Packers  Packers,Eagles  Eagles,09/01,John Michels,,Traded
0,1999,10,trades,Buccaneers  Buccaneers,Jaguars  Jaguars,10/19,Regan Upshaw,,Traded
1,1999,10,trades,Dolphins  Dolphins,Browns  Browns,10/19,Abdul-Karim al-Jabbar,,Traded
0,2000,2,trades,Broncos  Broncos,Packers  Packers,02/24,David Bowens,,Traded
1,2000,2,trades,Saints  Saints,Bears  Bears,02/22,Eddie Kennison,,Traded
2,2000,2,trades,Seahawks  Seahawks,Cowboys  Cowboys,02/14,Joey Galloway,,Traded
0,2000,3,trades,Packers  Packers,Eagles  Eagles,03/16,Jeff Thomason,,Traded
1,2000,3,trades,Eagles  Eagles,Packers  Packers,03/16,Kaseem Sinceno,,Traded
2,2000,3,trades,Redskins  Redskins,Dolphins  Dolphins,03/09,Matt Turk,,Traded
3,2000,3,trades,Rams  Rams,Broncos  Broncos,03/07,Billy Jenkins,,Traded
0,2000,4,trades,Cowboys  Cowboys,Saints  Saints,04/26,Kevin Mathis,,Traded
1,2000,4,trades,Saints  Saints,Cowboys  Cowboys,04/26,Chris Bordano,,Traded
2,2000,4,trades,Panthers  Panthers,Colts  Colts,04/21,Fred Lane,,Traded
3,2000,4,trades,Colts  Colts,Panthers  Panthers,04/21,Spencer Reid,,Traded
4,2000,4,trades,49ers  49ers,Redskins  Redskins,04/17,Joe Zelenka,,Traded
5,2000,4,trades,Dolphins  Dolphins,Bears  Bears,04/16,Brent Bartholomew,,Traded
6,2000,4,trades,Seahawks  Seahawks,Packers  Packers,04/15,Ahman Green,,Traded
7,2000,4,trades,Packers  Packers,Seahawks  Seahawks,04/15,Fred Vinson,,Traded
8,2000,4,trades,Jets  Jets,Buccaneers  Buccaneers,04/12,Keyshawn Johnson,,Traded
9,2000,4,trades,Broncos  Broncos,Rams  Rams,04/04,Derek Loville,,Traded
0,2000,6,trades,49ers  49ers,Bears  Bears,06/06,R.W. McQuarters,,Traded
0,2000,7,trades,Packers  Packers,Saints  Saints,07/31,Aaron Brooks,,Traded
1,2000,7,trades,Packers  Packers,Saints  Saints,07/31,Lamont Hall,,Traded
2,2000,7,trades,Saints  Saints,Packers  Packers,07/31,K.D. Williams,,Traded
3,2000,7,trades,Saints  Saints,Packers  Packers,07/11,Marvin Powell,,Traded
4,2000,7,trades,Packers  Packers,Saints  Saints,07/11,Lawrence Hart,,Traded
0,2000,8,trades,Falcons  Falcons,Cowboys  Cowboys,08/27,O.J. Santiago,,Traded
1,2000,8,trades,Bears  Bears,Seahawks  Seahawks,08/27,Chad Overhauser,,Traded
2,2000,8,trades,Broncos  Broncos,Bills  Bills,08/27,Chris Watson,,Traded
3,2000,8,trades,Raiders  Raiders,Titans  Titans,08/27,Gennaro DiNapoli,,Traded
4,2000,8,trades,Raiders  Raiders,Packers  Packers,08/27,Chuck Osborne,,Traded
5,2000,8,trades,Eagles  Eagles,Packers  Packers,08/26,Allen Rossum,,Traded
6,2000,8,trades,Cowboys  Cowboys,Dolphins  Dolphins,08/23,Jeff Ogden,,Traded
7,2000,8,trades,Colts  Colts,Rams  Rams,08/22,John Baker,,Traded
8,2000,8,trades,Dolphins  Dolphins,Chargers  Chargers,08/22,Nate Jacquet,,Traded
9,2000,8,trades,Chiefs  Chiefs,Jaguars  Jaguars,08/16,Brenden Stai,,Traded
10,2000,8,trades,Broncos  Broncos,Packers  Packers,08/15,Nate Wayne,,Traded
11,2000,8,trades,Saints  Saints,Cowboys  Cowboys,08/10,Lawrence Hart,,Traded
12,2000,8,trades,Rams  Rams,Patriots  Patriots,08/07,Dane Looker,,Traded
0,2000,10,trades,Bears  Bears,Dolphins  Dolphins,10/02,Alonzo Mayes,,Traded
0,2001,3,trades,Buccaneers  Buccaneers,Rams  Rams,03/19,Jeff Gooch,,Traded
1,2001,3,trades,Buccaneers  Buccaneers,Falcons  Falcons,03/06,Eric Zeier,,Traded
2,2001,3,trades,Packers  Packers,Seahawks  Seahawks,03/05,Matt Hasselbeck,,Traded
0,2001,4,trades,Rams  Rams,Chiefs  Chiefs,04/21,Trent Green,,Traded
1,2001,4,trades,Cardinals  Cardinals,Rams  Rams,04/21,Aeneas Williams,,Traded
2,2001,4,trades,Rams  Rams,Raiders  Raiders,04/21,Roland Williams,,Traded
3,2001,4,trades,Falcons  Falcons,Chargers  Chargers,04/20,Tim Dwight,,Traded
4,2001,4,trades,Rams  Rams,Titans  Titans,04/04,Kevin Carter,,Traded
0,2001,7,trades,Saints  Saints,Redskins  Redskins,07/20,Robert Arnaud,,Traded
0,2001,8,trades,Browns  Browns,Cowboys  Cowboys,08/28,Darrin Chiaverini,,Traded
1,2001,8,trades,Jets  Jets,Saints  Saints,08/23,Earthwind Moreland,,Traded
2,2001,8,trades,Saints  Saints,Jets  Jets,08/23,Chad Morton,,Traded
3,2001,8,trades,Bears  Bears,Dolphins  Dolphins,08/22,Cade McNown,,Traded
4,2001,8,trades,Browns  Browns,Vikings  Vikings,08/15,Everett Lindsay,,Traded
5,2001,8,trades,Bills  Bills,Packers  Packers,08/07,Bobby Collins,,Traded
6,2001,8,trades,Packers  Packers,Bills  Bills,08/07,David Bowens,,Traded
7,2001,8,trades,Broncos  Broncos,Falcons  Falcons,08/02,Henri Crockett,,Traded
0,2001,9,trades,Rams  Rams,Chiefs  Chiefs,09/03,Joe Germaine,,Traded
1,2001,9,trades,Browns  Browns,Vikings  Vikings,09/02,Travis Prentice,,Traded
2,2001,9,trades,Browns  Browns,Vikings  Vikings,09/02,Spergon Wynn,,Traded
3,2001,9,trades,Browns  Browns,Lions  Lions,09/02,Ty Detmer,,Traded
4,2001,9,trades,Titans  Titans,Panthers  Panthers,09/02,Perry Phenix,,Traded
5,2001,9,trades,Titans  Titans,Packers  Packers,09/02,Rod Walker,,Traded
0,2001,10,trades,Browns  Browns,Vikings  Vikings,10/16,Stalin Colinet,,Traded
0,2002,3,trades,Rams  Rams,Texans  Texans,03/28,Jacoby Shepherd,,Traded
1,2002,3,trades,Saints  Saints,Chiefs  Chiefs,03/27,Willie Roaf,,Traded
2,2002,3,trades,Patriots  Patriots,Packers  Packers,03/11,Terry Glenn,,Traded
3,2002,3,trades,Dolphins  Dolphins,Browns  Browns,03/11,J.J. Johnson,,Traded
4,2002,3,trades,Saints  Saints,Dolphins  Dolphins,03/08,Ricky Williams,,Traded
5,2002,3,trades,Redskins  Redskins,Texans  Texans,03/04,Jerry DeLoach,,Traded
6,2002,3,trades,Texans  Texans,Redskins  Redskins,03/04,Danny Wuerffel,,Traded
0,2002,4,trades,Jets  Jets,Buccaneers  Buccaneers,04/23,David Leaverton,,Traded
1,2002,4,trades,Buccaneers  Buccaneers,Jets  Jets,04/23,Jonathan Pittman,,Traded
2,2002,4,trades,Patriots  Patriots,Bills  Bills,04/22,Drew Bledsoe,,Traded
3,2002,4,trades,Seahawks  Seahawks,Colts  Colts,04/20,Brock Huard,,Traded
4,2002,4,trades,Browns  Browns,Jaguars  Jaguars,04/20,Wali Rainer,,Traded
5,2002,4,trades,Bills  Bills,Texans  Texans,04/18,Jay Foreman,,Traded
6,2002,4,trades,Texans  Texans,Bills  Bills,04/18,Charlie Rogers,,Traded
