,Year,Month,Type,From,To,Date,Player,Position,Transaction
2,1993,6,trades,Browns  Browns,Buccaneers  Buccaneers,06/02,Rick Trumbull,,Traded
0,1993,7,trades,Bengals  Bengals,Raiders  Raiders,07/16,Rickey Dixon,,Traded
1,1993,7,trades,Dolphins  Dolphins,Browns  Browns,07/14,Gene Williams,,Traded
2,1993,7,trades,Raiders  Raiders,Falcons  Falcons,07/09,Eric Dickerson,,Traded
0,1993,8,trades,Chiefs  Chiefs,Patriots  Patriots,08/30,Rich Baldinger,,Traded
1,1993,8,trades,Falcons  Falcons,Packers  Packers,08/30,Tim Kalal,,Traded
2,1993,8,trades,Chiefs  Chiefs,Vikings  Vikings,08/30,Barry Word,,Traded
3,1993,8,trades,Cardinals  Cardinals,Rams  Rams,08/26,Ernie Jones,,Traded
4,1993,8,trades,Patriots  Patriots,Seahawks  Seahawks,08/26,Jon Vaughn,,Traded
5,1993,8,trades,Raiders  Raiders,Rams  Rams,08/24,Sam Graddy,,Traded
6,1993,8,trades,Broncos  Broncos,Vikings  Vikings,08/24,Vance Johnson,,Traded
7,1993,8,trades,Raiders  Raiders,Browns  Browns,08/24,David Jones,,Traded
8,1993,8,trades,Broncos  Broncos,Packers  Packers,08/24,Doug Widell,,Traded
9,1993,8,trades,Vikings  Vikings,Broncos  Broncos,08/24,Gary Zimmerman,,Traded
10,1993,8,trades,Seahawks  Seahawks,Jets  Jets,08/23,David Daniels,,Traded
11,1993,8,trades,Vikings  Vikings,Redskins  Redskins,08/20,Rich Gannon,,Traded
12,1993,8,trades,Bears  Bears,Cowboys  Cowboys,08/17,Kelly Blackwell,,Traded
13,1993,8,trades,Cowboys  Cowboys,Bears  Bears,08/17,Barry Minter,,Traded
14,1993,8,trades,Bears  Bears,Cowboys  Cowboys,08/17,Markus Paul,,Traded
15,1993,8,trades,Bears  Bears,Cowboys  Cowboys,08/17,John Roper,,Traded
16,1993,8,trades,Cowboys  Cowboys,Bears  Bears,08/17,Vinson Smith,,Traded
