Team,Name,Position,College,Vet
Indianapolis Colts,Dylan Brown,CB,Wisconsin-River Falls,
Indianapolis Colts,Keydrain Calligan,CB,Southeastern Louisiana,
Indianapolis Colts,Ryan Heicher,P,Arkansas State,
Indianapolis Colts,Michael Love,WR,Long Island,
Indianapolis Colts,Peter Moore,P,Virginia Tech,
Indianapolis Colts,Jordan Riley,S,Kansas State,
Indianapolis Colts,CJ Wiggins,WR,Missoui Science & Tech,
Indianapolis Colts,Evan Slocum,CB,Wake Forest,
Indianapolis Colts,Darwin Barlow,RB,UNC,
Indianapolis Colts,Tyson Lawton,RB,Indiana,
Indianapolis Colts,Reggie Love,RB,Purdue,
Indianapolis Colts,Nay'Quan Wright,RB,South Florida,
Indianapolis Colts,Shiloh Means,S,Penn,
Indianapolis Colts,Trevor Wilson,WR,Kansas,
Indianapolis Colts,Luke Gunderson,LB,Northern State,
Indianapolis Colts,Tevin Shipp,LB,Tennessee-Martin,
Indianapolis Colts,Joseph Shimko,LS,NC State,
Indianapolis Colts,Joseph Vaughn,LB,UCLA,
Indianapolis Colts,Devin Veresuk,LB,Windsor,
Indianapolis Colts,Jake Chaney,LB,Wisconsin,
Indianapolis Colts,Jacob Gardner,G,Colorado State,
Indianapolis Colts,Bardhyl Gashi,C,Colgate,
Indianapolis Colts,Maverick Hansen,C,Michigan State,
Indianapolis Colts,Marcus Harper,G,Oregon,
Indianapolis Colts,Santana Saunders,G,Old Dominion,
Indianapolis Colts,Javontez Spraggins,G,Tennessee,
Indianapolis Colts,Brayden Swartout,OT,Central Michigan,
Indianapolis Colts,Michael Ford,G,Kansas,
Indianapolis Colts,Mose Vavao,C,Fresno State,
Indianapolis Colts,Caeleb Bass,TE,West Alabama,
Indianapolis Colts,Shane Calhoun,TE,Texas A&M,
Indianapolis Colts,Deontae Craig,DE,Iowa,
Indianapolis Colts,Anthonie Lattany,IDL,Wofford,
Indianapolis Colts,Dezmond Tell,IDL,Louisville,
Indianapolis Colts,Brian Ugwu,DE,Miami (OH),
Indianapolis Colts,Caiden Woullard,DE,Oklahoma,
San Francisco 49ers,Kenneth Almendares,K,Louisiana Lafayette,
San Francisco 49ers,Ali Jennings III,WR,Virginia Tech,
San Francisco 49ers,Jack Browning,P,San Diego State,
San Francisco 49ers,Money Parks,WR,Utah,
San Francisco 49ers,Hank Bachmeier,QB,Wake Forest,
San Francisco 49ers,Derrick Canteen,CB,Cincinnati,
San Francisco 49ers,Ed Woods,CB,Michigan State,
San Francisco 49ers,Nick Ostmo,RB,Montana,
San Francisco 49ers,Kobe Savage,S,Oregon,
San Francisco 49ers,James Burgess Jr.,CB,Alabama State,
San Francisco 49ers,Jonathan McGill,S,Southern Methodist,
San Francisco 49ers,Maceo Beard,S,Potsdam,
San Francisco 49ers,Tre Jenkins,S,San Jose State,
San Francisco 49ers,Jack Howell,S,Colorado State,
San Francisco 49ers,Mark Mahoney,TE,Brown,
San Francisco 49ers,Bentley Hanshaw,TE,Liberty,
San Francisco 49ers,Jordan Silver,LS,Arkansas,
San Francisco 49ers,Michael Moore,LB,Alabama at Birmingham,
San Francisco 49ers,Tristan Sinclair,LB,Stanford,
San Francisco 49ers,Ty French,LB,West Virginia,
San Francisco 49ers,Jacob Gideon,OL,Western Michigan,
San Francisco 49ers,Micah Mazzccua,OL,Nebraska,
San Francisco 49ers,Marcus Wehr,OL,Montana State,
San Francisco 49ers,Eric Phillips,DL,Cincinnati,
San Francisco 49ers,Ali Saad,DL,Bowling Green,
San Francisco 49ers,Elijah Hills,DL,Wisconsin,
San Francisco 49ers,Bo Belquist,WR,North Dakota,
San Francisco 49ers,D'Quan Douse,DL,Michigan State,
San Francisco 49ers,Steve Linton,DL,Baylor,
San Francisco 49ers,Brendan Mott,DL,Kansas State,
Tennessee Titans,Donovan Smith,QB,Houston,
Tennessee Titans,TJ Sheffield,WR,Connecticut,
Tennessee Titans,Kenyatta Watson II,S,Georgia State,
Tennessee Titans,Jacob Dobbs,ILB,James Madison,
Tennessee Titans,Ethan Barr,ILB,Central Florida,
Tennessee Titans,Van Fillinger,OLB,Utah,
Tennessee Titans,Kevin Swint,OLB,Georgia State,
Tennessee Titans,Brandon Yates,C,West Virginia,
Tennessee Titans,Drake Dabney,TE,TCU,
Tennessee Titans,Dennis Briggs Jr.,DE,Illinois,
Tennessee Titans,Makius Scott,DT,Georgia Tech,
